Glucose_time,reading
2023-03-05 00:05:00,115.0
2023-03-05 00:10:00,115.0
2023-03-05 00:15:00,114.0
2023-03-05 00:20:00,116.0
2023-03-05 00:25:00,116.5
2023-03-05 00:30:00,117.0
2023-03-05 00:35:00,120.0
2023-03-05 00:40:00,121.0
2023-03-05 00:45:00,122.0
2023-03-05 00:50:00,122.0
2023-03-05 00:55:00,121.5
2023-03-05 01:00:00,121.0
2023-03-05 01:05:00,119.0
2023-03-05 01:10:00,118.0
2023-03-05 01:15:00,117.0
2023-03-05 01:20:00,116.0
2023-03-05 01:25:00,113.5
2023-03-05 01:30:00,111.0
2023-03-05 01:35:00,107.0
2023-03-05 01:40:00,103.0
2023-03-05 01:45:00,99.0
2023-03-05 01:50:00,94.0
2023-03-05 01:55:00,90.5
2023-03-05 02:00:00,87.0
2023-03-05 02:05:00,88.0
2023-03-05 02:10:00,91.5
2023-03-05 02:15:00,95.0
2023-03-05 02:20:00,92.0
2023-03-05 02:25:00,89.0
2023-03-05 02:30:00,88.0
2023-03-05 02:35:00,85.0
2023-03-05 02:40:00,82.0
2023-03-05 02:45:00,81.0
2023-03-05 02:50:00,79.5
2023-03-05 02:55:00,78.0
2023-03-05 03:00:00,80.0
2023-03-05 03:05:00,80.0
2023-03-05 03:10:00,80.0
2023-03-05 03:15:00,80.0
2023-03-05 03:20:00,82.0
2023-03-05 03:25:00,84.0
2023-03-05 03:30:00,84.0
2023-03-05 03:35:00,82.0
2023-03-05 03:40:00,80.0
2023-03-05 03:45:00,87.0
2023-03-05 03:50:00,94.0
2023-03-05 03:55:00,101.0
2023-03-05 04:00:00,107.0
2023-03-05 04:05:00,110.0
2023-03-05 04:10:00,110.0
2023-03-05 04:15:00,108.0
2023-03-05 04:20:00,107.0
2023-03-05 04:25:00,106.0
2023-03-05 04:30:00,105.0
2023-03-05 04:35:00,106.0
2023-03-05 04:40:00,108.0
2023-03-05 04:45:00,110.0
2023-03-05 04:50:00,112.0
2023-03-05 04:55:00,113.0
2023-03-05 05:00:00,113.0
2023-03-05 05:05:00,116.0
2023-03-05 05:10:00,113.0
2023-03-05 05:15:00,112.0
2023-03-05 05:20:00,110.0
2023-03-05 05:25:00,109.0
2023-03-05 05:30:00,108.5
2023-03-05 05:35:00,108.0
2023-03-05 05:40:00,106.0
2023-03-05 05:45:00,103.5
2023-03-05 05:50:00,101.0
2023-03-05 05:55:00,99.0
2023-03-05 06:00:00,99.0
2023-03-05 06:05:00,97.5
2023-03-05 06:10:00,96.0
2023-03-05 06:15:00,94.0
2023-03-05 06:20:00,93.5
2023-03-05 06:25:00,93.0
2023-03-05 06:30:00,93.0
2023-03-05 06:35:00,93.0
2023-03-05 06:40:00,93.5
2023-03-05 06:45:00,94.0
2023-03-05 06:50:00,95.0
2023-03-05 06:55:00,95.0
2023-03-05 07:00:00,95.0
2023-03-05 07:05:00,95.0
2023-03-05 07:10:00,94.0
2023-03-05 07:15:00,95.0
2023-03-05 07:20:00,96.0
2023-03-05 07:25:00,95.0
2023-03-05 07:30:00,95.0
2023-03-05 07:35:00,96.0
2023-03-05 07:40:00,97.0
2023-03-05 07:45:00,96.0
2023-03-05 07:50:00,96.0
2023-03-05 07:55:00,97.0
2023-03-05 08:00:00,98.0
2023-03-05 08:05:00,98.0
2023-03-05 08:10:00,99.0
2023-03-05 08:15:00,97.5
2023-03-05 08:20:00,96.0
2023-03-05 08:25:00,96.0
2023-03-05 08:30:00,96.0
2023-03-05 08:35:00,96.0
2023-03-05 08:40:00,98.0
2023-03-05 08:45:00,98.0
2023-03-05 08:50:00,98.0
2023-03-05 08:55:00,98.0
2023-03-05 09:00:00,98.0
2023-03-05 09:05:00,98.0
2023-03-05 09:10:00,98.0
2023-03-05 09:15:00,96.0
2023-03-05 09:20:00,95.0
2023-03-05 09:25:00,94.5
2023-03-05 09:30:00,94.0
2023-03-05 09:35:00,96.0
2023-03-05 09:40:00,96.0
2023-03-05 09:45:00,96.0
2023-03-05 09:50:00,97.0
2023-03-05 09:55:00,98.5
2023-03-05 10:00:00,100.0
2023-03-05 10:05:00,98.0
2023-03-05 10:10:00,98.0
2023-03-05 10:15:00,96.0
2023-03-05 10:20:00,94.0
2023-03-05 10:25:00,94.0
2023-03-05 10:30:00,94.0
2023-03-05 10:35:00,94.0
2023-03-05 10:40:00,94.0
2023-03-05 10:45:00,100.0
2023-03-05 10:50:00,100.5
2023-03-05 10:55:00,101.0
2023-03-05 11:00:00,101.0
2023-03-05 11:05:00,103.0
2023-03-05 11:10:00,104.5
2023-03-05 11:15:00,106.0
2023-03-05 11:20:00,106.0
2023-03-05 11:25:00,107.0
2023-03-05 11:30:00,107.0
2023-03-05 11:35:00,108.0
2023-03-05 11:40:00,109.0
2023-03-05 11:45:00,107.0
2023-03-05 11:50:00,107.5
2023-03-05 11:55:00,108.0
2023-03-05 12:00:00,108.0
2023-03-05 12:05:00,106.0
2023-03-05 12:10:00,104.0
2023-03-05 12:15:00,104.0
2023-03-05 12:20:00,104.0
2023-03-05 12:25:00,103.0
2023-03-05 12:30:00,103.5
2023-03-05 12:35:00,104.0
2023-03-05 12:40:00,108.0
2023-03-05 12:45:00,105.0
2023-03-05 12:50:00,103.0
2023-03-05 12:55:00,102.0
2023-03-05 13:00:00,101.0
2023-03-05 13:05:00,103.0
2023-03-05 13:10:00,105.0
2023-03-05 13:15:00,111.5
2023-03-05 13:20:00,114.25
2023-03-05 13:25:00,117.0
2023-03-05 13:30:00,119.0
2023-03-05 13:35:00,118.0
2023-03-05 13:40:00,119.0
2023-03-05 13:45:00,118.0
2023-03-05 13:50:00,120.0
2023-03-05 13:55:00,117.0
2023-03-05 14:00:00,116.0
2023-03-05 14:05:00,118.0
2023-03-05 14:10:00,115.0
2023-03-05 14:15:00,113.0
2023-03-05 14:20:00,115.0
2023-03-05 14:25:00,116.0
2023-03-05 14:30:00,114.0
2023-03-05 14:35:00,113.0
2023-03-05 14:40:00,113.0
2023-03-05 14:45:00,114.0
2023-03-05 14:50:00,115.0
2023-03-05 14:55:00,114.0
2023-03-05 15:00:00,113.0
2023-03-05 15:05:00,113.0
2023-03-05 15:10:00,116.0
2023-03-05 15:15:00,118.0
2023-03-05 15:20:00,117.0
2023-03-05 15:25:00,116.0
2023-03-05 15:30:00,116.0
2023-03-05 15:35:00,115.0
2023-03-05 15:40:00,114.0
